image_name	ethnicity	gender	age	beauty-female	beauty-male	
vc4988_tw.jpeg	WHITE	Male	36	94.186	91.756	
vc4225_cb.jpeg	WHITE	Male	38	58.663	50.709	
vc4998_tw.jpeg	INDIA	Male	23	82.023	76.455	
vc4235_cb.jpeg	ASIAN	Male	42	59.66	53.472	
vc4508_cb.jpeg	WHITE	Male	46	62.786	64.205	
vc4470_cb.jpeg	WHITE	Male	47	50.173	44.545	
vc4460_cb.jpeg	INDIA	Male	24	68.341	65.325	
vc4716_cb.jpeg	ASIAN	Male	23	74.301	73.73	
vc4143_cb.jpeg	ASIAN	Male	30	39.527	40.657	
vc4153_cb.jpeg	WHITE	Male	48	36.684	38.651	
vc4863_cb.jpeg	INDIA	Male	33	65.645	64.577	
vc4092_cb.jpeg	WHITE	Male	48	60.915	59.609	
vc4873_cb.jpeg	WHITE	Female	45	57.306	50.592	
vc4859_tw.jpeg	INDIA	Male	35	57.017	57.243	
vc4795_tw.jpeg	WHITE	Male	44	78.753	72.409	
vc4943_tw.jpeg	ASIAN	Male	28	59.561	57.233	
vc4396_cb.jpeg	WHITE	Male	73	45.233	43.419	
vc4979_cb.jpeg	WHITE	Male	51	58.54	57.008	
vc4198_cb.jpeg	ASIAN	Male	45	57.268	57.145	
vc4801_cb.jpeg	WHITE	Male	77	43.541	33.684	
vc4969_cb.jpeg	ASIAN	Male	41	59.358	59.599	
vc4811_cb.jpeg	WHITE	Female	32	78.549	66.015	
vc4188_cb.jpeg	ASIAN	Female	44	43.555	35.593	
vc4059_cb.jpeg	WHITE	Female	61	49.666	44.408	
vc4049_cb.jpeg	BLACK	Male	47	58.7	52.617	
vc4774_cb.jpeg	WHITE	Male	81	47.34	41.242	
vc4550_tw.jpeg	WHITE	Male	50	58.606	43.094	
vc4764_cb.jpeg	WHITE	Male	55	75.332	68.492	
vc4626_tw.jpeg	WHITE	Male	55	47.446	49.069	
vc4412_cb.jpeg	WHITE	Male	25	66.349	64.305	
vc4402_cb.jpeg	WHITE	Male	59	51.999	45.973	
vc4892_tw.jpeg	WHITE	Male	31	88.443	78.625	
vc4257_cb.jpeg	WHITE	Male	35	82.773	77.793	
vc4087_tw.jpeg	WHITE	Male	22	64.355	60.968	
vc4790_cb.jpeg	BLACK	Male	25	76.18	70.895	
vc4780_cb.jpeg	ASIAN	Male	58	56.486	52.731	
vc4924_cb.jpeg	WHITE	Male	40	71.811	68.679	
vc4729_cb.jpeg	WHITE	Female	25	70.573	64.764	
vc4465_tw.jpeg	WHITE	Male	50	78.541	72.329	
