,feat_layer,rand_num,test_ratio,pca_num,imp1,train1,test1,imp2,train2,test2,imp3,train3,test3,imp4,train4,test4,imp5,train5,test5,imp6,train6,test6
0,conv51,0,0.2,150,trustworthy,0.6492402355256721,0.6058193392487682,intelligent,0.5757791421286358,0.5157284375548866,attractive,0.6370817518067495,0.6333517330448892,aggressive,0.6396918514047026,0.6188941563281245,responsible,0.6427006110834992,0.5746300097424223,sociable,0.6620578733669322,0.6092572657912608
1,conv51,0,0.2,160,trustworthy,0.6549685069773477,0.6176169799768193,intelligent,0.5819093448517988,0.5247074668905063,attractive,0.6424351031775718,0.6363016169925443,aggressive,0.6471240415896555,0.6270281460886178,responsible,0.6478988770305042,0.5858703564036938,sociable,0.6727020606104213,0.6194082211831792
2,conv51,0,0.2,170,trustworthy,0.6670535576235365,0.6167213508074314,intelligent,0.5959719878922707,0.5321359912555134,attractive,0.6482052148011591,0.6391749394411411,aggressive,0.657319178401458,0.6215348965465386,responsible,0.6595854357860128,0.589535010099671,sociable,0.6884209043629154,0.6249583941743598
3,conv51,0,0.2,180,trustworthy,0.6708527569119354,0.6195060515373289,intelligent,0.600476685198829,0.5408800169278029,attractive,0.6554946356601914,0.6461156442085966,aggressive,0.6621451081041383,0.6229588272838013,responsible,0.665464849680731,0.5947341776681144,sociable,0.6951235267129002,0.6284351537692117
4,conv51,0,0.2,190,trustworthy,0.6749949623209126,0.6234545469375018,intelligent,0.6097589394781753,0.5514453214441624,attractive,0.6665548412796498,0.6556214733892132,aggressive,0.6683816692701998,0.6225329272943314,responsible,0.6693232751630718,0.5943711864651698,sociable,0.7034094737506776,0.6331781371794872
5,conv51,0,0.2,200,trustworthy,0.6787687130416762,0.6244738259174933,intelligent,0.6144245960915642,0.5502500822872309,attractive,0.6712043213834622,0.6611163214776405,aggressive,0.6728768580327923,0.6274492113066067,responsible,0.6721860844419505,0.5926697350537284,sociable,0.7079477929510216,0.6354450331782245
6,conv51,0,0.2,210,trustworthy,0.6893991120022058,0.6283850191286284,intelligent,0.6189259374064807,0.5638122489726262,attractive,0.681992867163101,0.6614961245941985,aggressive,0.6844364712511204,0.6285071647621009,responsible,0.682248835256703,0.5938194426255518,sociable,0.7145996757164998,0.6400569330799333
7,conv51,0,0.2,220,trustworthy,0.6951843298522439,0.6263290610298348,intelligent,0.6204773305888401,0.5617976673797751,attractive,0.6888523277387153,0.6696816954145289,aggressive,0.6911185764701173,0.6280488449443056,responsible,0.684113717233545,0.5925632328671305,sociable,0.718282686631869,0.6405223140629815
8,conv51,0,0.2,230,trustworthy,0.6983408555815617,0.6295914585287898,intelligent,0.6248898873435683,0.5577359827548015,attractive,0.7026723321768481,0.6711592566275253,aggressive,0.6939992467152857,0.6297705417086884,responsible,0.6873780652442106,0.5959895970053662,sociable,0.7224642851200421,0.638879664694813
9,conv51,0,0.2,240,trustworthy,0.7012368392710495,0.6290568064458596,intelligent,0.6294219645352374,0.5590152325881571,attractive,0.7054691111291997,0.6655461537389116,aggressive,0.6960041113758937,0.6288742843821923,responsible,0.6895014477362641,0.5989865296310422,sociable,0.723851185758044,0.6379214521909691
10,conv51,0,0.2,250,trustworthy,0.7045212922872452,0.6331403411870896,intelligent,0.6349119393672791,0.5572304508814522,attractive,0.7102305510871363,0.6661965114112245,aggressive,0.6985436418635842,0.6351736769440568,responsible,0.6939639261368057,0.5981269337242597,sociable,0.7269776291034952,0.6385017645558115
11,conv51,0,0.2,260,trustworthy,0.7074424522992779,0.6405389034495579,intelligent,0.6405815007440748,0.5698979530275121,attractive,0.7150466367992976,0.6670819275634614,aggressive,0.7024536284554005,0.6370145183371897,responsible,0.6961724319389393,0.6023696665128093,sociable,0.7313212309171679,0.6457945610689803
12,conv51,0,0.2,270,trustworthy,0.7100042936559593,0.6417213413691668,intelligent,0.6453846139296254,0.5674790356488544,attractive,0.7173179404223793,0.6692176381683285,aggressive,0.7076748108480724,0.6427276777257995,responsible,0.6997008517367659,0.6053417652307056,sociable,0.7335646954025515,0.6485260808641047
13,conv51,0,0.2,280,trustworthy,0.7151457730473118,0.6388066623956468,intelligent,0.6489626921273038,0.5630970287312576,attractive,0.7210703984100357,0.672933133779261,aggressive,0.7107202974963521,0.639825727811893,responsible,0.7029804188588537,0.6024507018029788,sociable,0.7375677231060608,0.6522472351857751
14,conv51,0,0.2,290,trustworthy,0.720085596503171,0.6379640273090749,intelligent,0.6527815771850726,0.5616527800012252,attractive,0.7307364132281035,0.6725929892374031,aggressive,0.7181157929309528,0.6287086205531708,responsible,0.7068956898873344,0.6032280310924706,sociable,0.7446996326695599,0.650395737859431
15,conv51,0,0.2,300,trustworthy,0.7255851965457804,0.634995818084761,intelligent,0.6583899256709453,0.5568414725508675,attractive,0.7347428983925589,0.669662913246614,aggressive,0.7217106407643634,0.6271668160118868,responsible,0.7130435455697421,0.6057666383612966,sociable,0.7487998445129074,0.649858040152086
16,conv51,0,0.2,310,trustworthy,0.7282812560687152,0.6391224000726519,intelligent,0.6610676925793161,0.5528409425549577,attractive,0.7379111259940044,0.6659560615825256,aggressive,0.7253370716243106,0.6262322014231211,responsible,0.714836564785121,0.6082541723997239,sociable,0.75193359853865,0.6511237703156957
17,conv51,0,0.2,320,trustworthy,0.7314503722066222,0.6358378811023887,intelligent,0.6664538984227143,0.5408674391718142,attractive,0.743910258851183,0.6667918939706983,aggressive,0.7271194063847681,0.6216114021456123,responsible,0.7185916454527274,0.6011264950803856,sociable,0.7550593617137656,0.6521082653652012
18,conv51,0,0.2,330,trustworthy,0.736448287734423,0.6337492511208934,intelligent,0.6704806980555401,0.5383321170998623,attractive,0.747873389235359,0.6727872632706955,aggressive,0.7319569992765105,0.6186740878229013,responsible,0.7227525893710077,0.596203608988864,sociable,0.7573602864403196,0.6506369946915612
19,conv51,0,0.2,340,trustworthy,0.7417764139680171,0.6431410823265552,intelligent,0.6766339219350876,0.5378149935208009,attractive,0.7508184260871312,0.6711239382066108,aggressive,0.7359792616048288,0.6224844229975539,responsible,0.7283554911636473,0.6005518456090324,sociable,0.7603204848804983,0.6524726117150265
20,conv51,0,0.2,350,trustworthy,0.7446921068343921,0.6413272432540245,intelligent,0.6809128963917989,0.5335193582609308,attractive,0.7542308106252561,0.6696907688587012,aggressive,0.7409760214238623,0.6231660747456269,responsible,0.7328481202846235,0.5983325684309494,sociable,0.7660440935666415,0.6573683550940446
21,conv51,1,0.2,150,trustworthy,0.6549611296331633,0.5801643251282919,intelligent,0.5953292366835956,0.435337248438089,attractive,0.6603340727035489,0.5261551970345362,aggressive,0.645514289706869,0.5878367602139126,responsible,0.6485993058000361,0.5580497530727404,sociable,0.6648762191573357,0.5859487414143683
22,conv51,1,0.2,160,trustworthy,0.6623890197143854,0.5834276997678759,intelligent,0.6008288612753638,0.4458825083446198,attractive,0.6670471854324768,0.5229813630111625,aggressive,0.6540901496754296,0.5904197103215296,responsible,0.6548882634587238,0.5646521079743211,sociable,0.6757613478235387,0.5974752031320893
23,conv51,1,0.2,170,trustworthy,0.6663070489784304,0.5923196976587113,intelligent,0.6076823144310087,0.4480678841601538,attractive,0.6716088204415577,0.5235360864019031,aggressive,0.6627284052022957,0.5859815121158864,responsible,0.6585364733199873,0.5723685249557974,sociable,0.6821730432519599,0.6097012037394778
24,conv51,1,0.2,180,trustworthy,0.671742116195366,0.5969081980758859,intelligent,0.6141181898311705,0.45017653032912536,attractive,0.6768846330372205,0.5295358129963346,aggressive,0.6687147241119807,0.5891697124151495,responsible,0.6658217058091044,0.577305224275664,sociable,0.6892409015456294,0.6171850011283009
25,conv51,1,0.2,190,trustworthy,0.6819178555489871,0.5955823117761166,intelligent,0.6257231465817128,0.4647516801834338,attractive,0.6874365013456899,0.5407263690705528,aggressive,0.6782502463489121,0.5959648709860066,responsible,0.6734128612006176,0.5794677398410828,sociable,0.7035378484728563,0.6286392554511095
26,conv51,1,0.2,200,trustworthy,0.6867008074117507,0.5990678056225728,intelligent,0.6308079803617689,0.4666310723452383,attractive,0.6975747388004446,0.5558644505715343,aggressive,0.6833594227542945,0.6005674142064512,responsible,0.6760122306756687,0.5813484871807888,sociable,0.7087967125223008,0.6320635311688323
27,conv51,1,0.2,210,trustworthy,0.6933263504820559,0.594979280467841,intelligent,0.6344228856680322,0.47210089477090905,attractive,0.70028767868293,0.5647616533061046,aggressive,0.6900224556297009,0.5964475145255526,responsible,0.6789284159816924,0.5826733922458496,sociable,0.7112131730259323,0.6356084835971509
28,conv51,1,0.2,220,trustworthy,0.699518982100939,0.5918285906518507,intelligent,0.6375019709672431,0.4642889445802829,attractive,0.7110715728790732,0.5688588122237096,aggressive,0.6958739699743456,0.5965875357590203,responsible,0.6838459762988409,0.5770881492917144,sociable,0.7207132012407825,0.6325001297249003
29,conv51,1,0.2,230,trustworthy,0.7019491031477041,0.5960788603346834,intelligent,0.6420427980519204,0.4650748925104206,attractive,0.7186100628055874,0.578756593363561,aggressive,0.7016561772208384,0.5982339471508424,responsible,0.6865552785600925,0.5825534556733707,sociable,0.723242494317279,0.6336406438811698
30,conv51,1,0.2,240,trustworthy,0.7057335170880469,0.6039141422002396,intelligent,0.6457316723423502,0.47862038860344025,attractive,0.7208239196799511,0.5802730509039765,aggressive,0.7035039118501035,0.5991406376402809,responsible,0.6894983882244033,0.5868378945847316,sociable,0.7265922191011079,0.6320968554101232
31,conv51,1,0.2,250,trustworthy,0.712141279681067,0.6146589783906704,intelligent,0.6510333532656721,0.4925794596281198,attractive,0.7254103966088173,0.5866905032452016,aggressive,0.7084794444317407,0.607761630168064,responsible,0.6957808334575452,0.5971687298752731,sociable,0.7329242662266299,0.6272301907290466
32,conv51,1,0.2,260,trustworthy,0.7152100658409345,0.6067993614395671,intelligent,0.6550747008720571,0.4901718896047023,attractive,0.7321748840744946,0.5851597527109363,aggressive,0.7124397132112561,0.6045191650762443,responsible,0.7006470944005132,0.5890589809841577,sociable,0.7393154349620884,0.627647647208553
33,conv51,1,0.2,270,trustworthy,0.7183716183991767,0.6112751018019594,intelligent,0.6600302273505487,0.4972978145456752,attractive,0.7359508207892361,0.5892651473119005,aggressive,0.7149783838736602,0.6097559327538067,responsible,0.7030959935959767,0.5946941749301404,sociable,0.7426817495673189,0.6340975686789742
34,conv51,1,0.2,280,trustworthy,0.7200888566376784,0.6108194143089475,intelligent,0.6632056419876847,0.49261077607689957,attractive,0.7407192196919328,0.5888174221606124,aggressive,0.717220190242921,0.6084350927365194,responsible,0.7058955881294077,0.5919736297232155,sociable,0.7447825377592673,0.6358398195594458
35,conv51,1,0.2,290,trustworthy,0.723052455929249,0.6131076852009867,intelligent,0.6653919577739782,0.49408089045559556,attractive,0.7465945646124292,0.595673744672192,aggressive,0.719856024828348,0.6016120830742855,responsible,0.7080152196855822,0.5952882204335822,sociable,0.7486018283683766,0.6343683699615756
36,conv51,1,0.2,300,trustworthy,0.725085601483084,0.6101441149132352,intelligent,0.669152634437899,0.49347939447121175,attractive,0.7489567435866696,0.5992307248391944,aggressive,0.7220179052775594,0.5993936363202761,responsible,0.710407430306047,0.5926457648068525,sociable,0.749887429434222,0.6329532621401844
37,conv51,1,0.2,310,trustworthy,0.7271835642763326,0.6121094068520038,intelligent,0.6717421966469012,0.49982060723439836,attractive,0.7502684400753897,0.6005345860319768,aggressive,0.7254582864547124,0.5989070620900601,responsible,0.7119312382741395,0.5932112111936856,sociable,0.7510028098151394,0.6356627487938521
38,conv51,1,0.2,320,trustworthy,0.7299803046635894,0.6132167719513933,intelligent,0.6728524415563624,0.49947350945846014,attractive,0.7522549620161688,0.600959320033465,aggressive,0.7292869145900363,0.6021975405024171,responsible,0.7145041027573806,0.5932308664940805,sociable,0.7529156870819766,0.6367350062162419
39,conv51,1,0.2,330,trustworthy,0.734134424438298,0.6134696400727357,intelligent,0.6766239290077555,0.5081716891899424,attractive,0.7575128099110375,0.6017869743533236,aggressive,0.731947032038564,0.6079965317860795,responsible,0.7172385583566138,0.5947781407880854,sociable,0.757103260948592,0.6415058571964393
40,conv51,1,0.2,340,trustworthy,0.7395353302539106,0.6129849321869191,intelligent,0.6786839513041961,0.513775770835105,attractive,0.7599490599560171,0.603282412605062,aggressive,0.7351353943131002,0.6036423923613742,responsible,0.7220434231542961,0.6012804996434684,sociable,0.7621246213559119,0.6433459474197503
41,conv51,1,0.2,350,trustworthy,0.744742082373082,0.6187692650638984,intelligent,0.6834845402418425,0.5157379307148414,attractive,0.762013894917648,0.6019459487124335,aggressive,0.7396254160205818,0.6048555572639376,responsible,0.7260329233489391,0.6031830036112863,sociable,0.7644133283097952,0.6461499965677685
42,conv51,2,0.2,150,trustworthy,0.6492066890794616,0.6142036781627939,intelligent,0.5793803700434927,0.5283395347262125,attractive,0.6557241790663267,0.5581875943930625,aggressive,0.6451617296067766,0.6023816806855444,responsible,0.6361445841200776,0.6137503824512275,sociable,0.6561440528217846,0.624206037782558
43,conv51,2,0.2,160,trustworthy,0.6585452007806366,0.6168175012990508,intelligent,0.5891711752079706,0.528169034983371,attractive,0.6646658562074236,0.5590903792527483,aggressive,0.6544257197895649,0.6070883215053748,responsible,0.6463654872982489,0.6209421342712282,sociable,0.6700708266659472,0.6337946282435853
44,conv51,2,0.2,170,trustworthy,0.6645847694630141,0.6178956555436258,intelligent,0.5960137788815231,0.5323734271207609,attractive,0.6676501841602007,0.5598267110177111,aggressive,0.6598560217054125,0.6002752714963039,responsible,0.651787777254917,0.623789902737406,sociable,0.6813778404458174,0.636915499354381
45,conv51,2,0.2,180,trustworthy,0.670835581698689,0.6052536743249545,intelligent,0.6044709608071648,0.5288572470873226,attractive,0.6774814738577843,0.5655296687137339,aggressive,0.6648110128415741,0.5977850864227174,responsible,0.6589499935793579,0.6146318479815716,sociable,0.6896452649286272,0.6403712304931847
46,conv51,2,0.2,190,trustworthy,0.6755382838411745,0.6066693083136443,intelligent,0.6127680333317372,0.5334441825479258,attractive,0.6793068582489927,0.5644497635705396,aggressive,0.6728645837792092,0.601349357379267,responsible,0.6622266636019798,0.6175728717831077,sociable,0.6930346794679967,0.6496081922423457
47,conv51,2,0.2,200,trustworthy,0.6804478934384725,0.6142079543177347,intelligent,0.615273619232974,0.5357075498466636,attractive,0.6886364355536821,0.5689095827892591,aggressive,0.6786419968213225,0.6102469553999366,responsible,0.6650009205189923,0.6201831411693877,sociable,0.6985711315212823,0.6560755249446968
48,conv51,2,0.2,210,trustworthy,0.6873783104400372,0.6213237119807331,intelligent,0.6215877662963718,0.5419650926889081,attractive,0.7006501412363259,0.5809184138875756,aggressive,0.6839926292398172,0.6159096992177868,responsible,0.6712185042358015,0.6222669507489126,sociable,0.7043577127155993,0.6561708559354917
49,conv51,2,0.2,220,trustworthy,0.6936617096745186,0.6279145021209325,intelligent,0.6263462218534463,0.5455811540603226,attractive,0.7097303384185366,0.5729397799858177,aggressive,0.6881440042270187,0.6231200772756653,responsible,0.6755683545944158,0.6300880312093412,sociable,0.7108257396838876,0.6564491415814563
50,conv51,2,0.2,230,trustworthy,0.6985973377351622,0.6269461866436211,intelligent,0.6294466003770668,0.5458311635918871,attractive,0.7174818494197103,0.5751621242754503,aggressive,0.692703850568164,0.617825852021682,responsible,0.681706980231266,0.6188400085273253,sociable,0.716033364702763,0.6560209487039909
51,conv51,2,0.2,240,trustworthy,0.7025070590524194,0.6203850858362663,intelligent,0.6351984046319149,0.5447223958850116,attractive,0.7224152894592922,0.5891021980617765,aggressive,0.6960769464520997,0.6186020838646827,responsible,0.6838470961212804,0.6125086316602147,sociable,0.7180047916024443,0.6550991161557478
52,conv51,2,0.2,250,trustworthy,0.7071878200780852,0.6173088196132361,intelligent,0.644548120235002,0.5361600794292412,attractive,0.7258387323742364,0.5912549125854426,aggressive,0.6994503051198537,0.6204049337713847,responsible,0.6910722573231096,0.606246979029422,sociable,0.719610683816484,0.6531309189638593
53,conv51,2,0.2,260,trustworthy,0.713685441641852,0.6167507472741511,intelligent,0.6529302331352728,0.5463887630562058,attractive,0.7291149359657991,0.5993273016518033,aggressive,0.7043049378073104,0.6259855654547878,responsible,0.6970857998796707,0.6098210421067916,sociable,0.7251450148203006,0.6612132659475057
54,conv51,2,0.2,270,trustworthy,0.716176129079107,0.6199268794224184,intelligent,0.6571219101786369,0.5433657149857452,attractive,0.7321065113764533,0.6068009205983327,aggressive,0.7099561066978833,0.6286507868313705,responsible,0.70123088301623,0.613557519410688,sociable,0.7310009362985984,0.6695050180080134
55,conv51,2,0.2,280,trustworthy,0.7182902019879885,0.6164980561566173,intelligent,0.6601514164173891,0.5405485625273214,attractive,0.7340169763216505,0.6058054181280951,aggressive,0.7118669184005922,0.63030506395683,responsible,0.7032135666097485,0.6077044948081924,sociable,0.7342395803204449,0.670176890692062
56,conv51,2,0.2,290,trustworthy,0.7210005141385613,0.6126543635560119,intelligent,0.6633099115886439,0.531412042880854,attractive,0.7374112343414374,0.6169976162132378,aggressive,0.7151272574678975,0.629044685752401,responsible,0.706632566691768,0.6058616128307163,sociable,0.7375491468916886,0.6758154294526696
57,conv51,2,0.2,300,trustworthy,0.7242257949735266,0.6156843641876381,intelligent,0.6666219242821354,0.5311366511237466,attractive,0.738294669266691,0.6146471645669341,aggressive,0.7192898366465644,0.6284176157930084,responsible,0.7095567665030889,0.6095268193429343,sociable,0.7407099642153729,0.6700971758043617
58,conv51,2,0.2,310,trustworthy,0.7295080174215762,0.6172494527952627,intelligent,0.6718144551934931,0.5267388975701123,attractive,0.7391905822610231,0.6166264964508968,aggressive,0.7241441909080021,0.6254165657551899,responsible,0.7148221081061504,0.6048087859841753,sociable,0.7435804888127412,0.66845868058745
59,conv51,2,0.2,320,trustworthy,0.731905351765509,0.6152640355109475,intelligent,0.6744444153505155,0.5181335222407475,attractive,0.7449135129163093,0.6155434076442978,aggressive,0.7261503883290528,0.6214883869865052,responsible,0.7185241812344347,0.5959062542684573,sociable,0.7451480189501025,0.6674728728483333
