,feat_layer,rand_num,test_ratio,pca_num,imp1,train1,test1,imp2,train2,test2,imp3,train3,test3,imp4,train4,test4,imp5,train5,test5,imp6,train6,test6
0,conv52,0,0.2,100,trustworthy,0.6060910062012695,0.5276825662644212,intelligent,0.5289113001598406,0.4617446862399222,attractive,0.6131994351252241,0.6369747333186823,aggressive,0.5995820993781369,0.5501839382654219,responsible,0.5820885413044196,0.47879462382084825,sociable,0.6253297125325137,0.5772489104567735
1,conv52,0,0.2,110,trustworthy,0.6179950492245747,0.5201269620407298,intelligent,0.5401679250247071,0.4630752602276368,attractive,0.6161269420745733,0.6379694351536517,aggressive,0.6096942840032883,0.5457282240950808,responsible,0.5972633275546273,0.4760823297299864,sociable,0.6372816630828823,0.5664494647055627
2,conv52,0,0.2,120,trustworthy,0.6250658392550068,0.5189509341092869,intelligent,0.5514783242256261,0.4628195676217004,attractive,0.6280501692853192,0.630944654735111,aggressive,0.6142539786757719,0.5498891485000754,responsible,0.6079843433512524,0.47127983141982194,sociable,0.6440591481628241,0.5719201993213239
3,conv52,0,0.2,130,trustworthy,0.6275395975111911,0.5200159924934165,intelligent,0.5566936244316874,0.465881010305196,attractive,0.6334151614380569,0.6327682796654349,aggressive,0.6163220413455979,0.5485843204971658,responsible,0.6120048529049208,0.4743304989324664,sociable,0.6500306725778479,0.5765939994795647
4,conv52,0,0.2,140,trustworthy,0.6408680607982525,0.5396480215807491,intelligent,0.5701816497017652,0.4815398786031678,attractive,0.6382710511591005,0.6384618126409191,aggressive,0.6305874165497879,0.5699806900670745,responsible,0.6261021526045377,0.48981043689508996,sociable,0.6611732432439708,0.5884425471500363
5,conv52,0,0.2,150,trustworthy,0.650845200901208,0.5373127040687974,intelligent,0.5789877269171835,0.4741308214976495,attractive,0.6441894569663498,0.6338332347216104,aggressive,0.6392405976022179,0.567510708311271,responsible,0.6354943258096202,0.49020529092762943,sociable,0.666549310580241,0.581572320585001
6,conv52,0,0.2,160,trustworthy,0.6545605065613018,0.5325831696514496,intelligent,0.5888153483175692,0.46028045444078935,attractive,0.6458270096982863,0.6317754747223261,aggressive,0.6429150928101327,0.5723253622857453,responsible,0.6414387868149547,0.48424423304134645,sociable,0.673920066584775,0.582675730295794
7,conv52,0,0.2,170,trustworthy,0.6573273850181003,0.5322764010605006,intelligent,0.59227896017814,0.4533806061113381,attractive,0.6501378698093964,0.6287034643340934,aggressive,0.6450468926168663,0.5707824048269617,responsible,0.643544045248779,0.48087222932236384,sociable,0.675897232468795,0.5770356811427689
8,conv52,0,0.2,180,trustworthy,0.6669572739829245,0.5438013970468739,intelligent,0.5970390941187798,0.4598353508729789,attractive,0.6568233403812742,0.6228769321583442,aggressive,0.652273280328579,0.5813778568312166,responsible,0.6509937379524128,0.48936857769814235,sociable,0.6845182304067869,0.5862601846642108
9,conv52,0,0.2,190,trustworthy,0.6730802299274534,0.535362829345073,intelligent,0.6078376786290481,0.4530088427964498,attractive,0.6623947298027292,0.6164947323132595,aggressive,0.659256183531721,0.5720614004338286,responsible,0.659606870683636,0.4860015283340127,sociable,0.6898778429955583,0.5842126509653837
10,conv52,0,0.2,200,trustworthy,0.6804938216385339,0.5342209520885963,intelligent,0.6142639543616929,0.4550100726674897,attractive,0.6678459686682716,0.6215415212279464,aggressive,0.6647800046998219,0.5777531036610073,responsible,0.6676131234914221,0.4866668009791057,sociable,0.6964446716624102,0.58857634989831
11,conv52,1,0.2,100,trustworthy,0.5920249376762301,0.5871046409597851,intelligent,0.5331374527147338,0.4635074745305323,attractive,0.6373180022101222,0.5221429437810574,aggressive,0.5914694229688717,0.5742262561670598,responsible,0.5761522171338587,0.5205982516563085,sociable,0.6322173607138638,0.5357076478529573
12,conv52,1,0.2,110,trustworthy,0.6013330205191194,0.5873153997584883,intelligent,0.5448549545872748,0.4543358303036801,attractive,0.64317044261054,0.5153667879037831,aggressive,0.6002896011445913,0.5700936712382753,responsible,0.5886455931350462,0.5161191734752719,sociable,0.6413360876605011,0.5333124666678158
13,conv52,1,0.2,120,trustworthy,0.6100629893500323,0.5823052085257368,intelligent,0.5523603488708783,0.45427906155445175,attractive,0.654563378449404,0.5143829787854773,aggressive,0.6108690272161682,0.5633344627883233,responsible,0.5945785033107884,0.5109818673346388,sociable,0.6557011001671832,0.5260011989692778
14,conv52,1,0.2,130,trustworthy,0.6133300531716799,0.5848480831304135,intelligent,0.556929190958602,0.45477593810161604,attractive,0.6604752155245361,0.5167957438314111,aggressive,0.6131666183894764,0.5658155284135324,responsible,0.6016992795386277,0.5103323227701416,sociable,0.660524204050426,0.5373207934261047
15,conv52,1,0.2,140,trustworthy,0.6261544874036117,0.5821623123179754,intelligent,0.5670363632255319,0.46939701460045585,attractive,0.6646360859538355,0.5224409086948026,aggressive,0.6225541816947199,0.570182687594191,responsible,0.6145453027958541,0.5139249917077418,sociable,0.6664368131770341,0.5499147798296626
