,feat_layer,rand_num,test_ratio,pca_num,imp1,train1,test1,imp2,train2,test2,imp3,train3,test3,imp4,train4,test4,imp5,train5,test5,imp6,train6,test6
0,conv53,0,0.2,150,trustworthy,0.6422699526930487,0.5418293303561746,intelligent,0.5645657726299363,0.45407289213246915,attractive,0.6469616728953513,0.6386479865700813,aggressive,0.6317954242822282,0.5630521444018187,responsible,0.6245464509752207,0.47116669428649155,sociable,0.6582660498360503,0.592211142349024
1,conv53,0,0.2,160,trustworthy,0.6451103347723424,0.5363870294090572,intelligent,0.5687163135930907,0.4529925006930555,attractive,0.6526766956092739,0.6345165099400936,aggressive,0.6359382277559003,0.5590619837765776,responsible,0.6279042545401557,0.4683490667559755,sociable,0.6646078297961501,0.5879779307050109
2,conv53,0,0.2,170,trustworthy,0.6468843977163214,0.535633281120665,intelligent,0.5717566500307661,0.451099070767613,attractive,0.6591448073903904,0.6401973989693415,aggressive,0.6410278515553327,0.5567318477253644,responsible,0.6296240080293585,0.4671178942441294,sociable,0.6668144704242713,0.5918049246950009
3,conv53,0,0.2,180,trustworthy,0.6532306207947868,0.5393658662403656,intelligent,0.5807076047793871,0.45119430073435796,attractive,0.6637950708988628,0.6403673315893555,aggressive,0.6477458086209449,0.5674788953029571,responsible,0.6366869846566167,0.4738498085420701,sociable,0.6718249924182751,0.5862037364726923
4,conv53,0,0.2,190,trustworthy,0.6568988225346655,0.537652193962967,intelligent,0.5856515734700086,0.45034623261750056,attractive,0.6664901389642707,0.6390144239287519,aggressive,0.6514917870863157,0.573181539984836,responsible,0.6399990786256934,0.47368094045153825,sociable,0.6754816049528535,0.5839965882428065
5,conv53,0,0.2,200,trustworthy,0.6661034258187,0.5463476841679754,intelligent,0.5967769594742985,0.45459781510731495,attractive,0.6712938319143691,0.6447423595393463,aggressive,0.6603166289074891,0.5780300161711407,responsible,0.6547315480330754,0.47331400249308536,sociable,0.6837905930314027,0.5838112918281155
6,conv53,0,0.2,210,trustworthy,0.6714785667322924,0.5432585505187199,intelligent,0.6071100580561484,0.4294720330721529,attractive,0.6804117885674984,0.6416013759256297,aggressive,0.6646340884455304,0.5789129170137977,responsible,0.658003785577127,0.4695269651835607,sociable,0.6881380304261904,0.5857352155709921
7,conv53,0,0.2,220,trustworthy,0.6770937020792724,0.5350224606302818,intelligent,0.6129792792980567,0.4217564803230816,attractive,0.6834139510291168,0.6440645842567401,aggressive,0.6671115416288335,0.5767253511522561,responsible,0.6648326800324735,0.46485499345971676,sociable,0.6931643483028036,0.5770554670798732
8,conv53,0,0.2,230,trustworthy,0.6793787459284804,0.5319117147188548,intelligent,0.616300010423108,0.42631055621460306,attractive,0.6870297230952189,0.6441778832169146,aggressive,0.6707196331706524,0.5792217962559292,responsible,0.6678965837668142,0.46541119602300457,sociable,0.6968161231320817,0.5793605233006178
9,conv53,0,0.2,240,trustworthy,0.6840426097393926,0.5299531356177866,intelligent,0.6215568345847919,0.4245295140090142,attractive,0.689875984495487,0.6439749099133768,aggressive,0.6732902276287306,0.5787396981446172,responsible,0.674286634049268,0.46755707972352367,sociable,0.6995062573180608,0.5791836766325827
10,conv53,0,0.2,250,trustworthy,0.6872077999965859,0.5236604680760344,intelligent,0.6246545690133103,0.4241831659813702,attractive,0.6985786683326931,0.6484135599555795,aggressive,0.6766801093686047,0.5785025658602871,responsible,0.677616013899726,0.459957980859789,sociable,0.7050684456579391,0.5824394458316163
11,conv53,0,0.2,260,trustworthy,0.6902723254079407,0.5281331771815213,intelligent,0.6302014326450917,0.4222520672197118,attractive,0.7002849787819628,0.6464683889614783,aggressive,0.6792380332992835,0.5831437750143159,responsible,0.6840441529454726,0.4660185739747266,sociable,0.7095648388917594,0.5858545308702378
12,conv53,0,0.2,270,trustworthy,0.692658569184214,0.524308794480162,intelligent,0.6332301039997285,0.42092465222492215,attractive,0.7058380118544407,0.643545631264314,aggressive,0.6814785520056362,0.582687790798784,responsible,0.6854580685607784,0.464974837868041,sociable,0.7135486451952712,0.5786732490504806
13,conv53,0,0.2,280,trustworthy,0.6969239776809101,0.5188374981196837,intelligent,0.6382271941319799,0.41728507161556605,attractive,0.7092908667611104,0.6416805990657889,aggressive,0.6847026098163461,0.576286301206451,responsible,0.6932665461208403,0.4622505872640354,sociable,0.7170491903593473,0.5723333529754042
14,conv53,0,0.2,290,trustworthy,0.6997829254528846,0.5198795383408035,intelligent,0.6410255867116902,0.42126564246174664,attractive,0.7100858456293061,0.6395012586659957,aggressive,0.6914212027256509,0.5700873761764064,responsible,0.6968849614042126,0.4622180164294479,sociable,0.7206729483652667,0.567881644768905
15,conv53,0,0.2,300,trustworthy,0.7082814194316656,0.5212897208960738,intelligent,0.6494261394410641,0.4093606274359146,attractive,0.7124766289466621,0.6396713625479294,aggressive,0.7011089624044132,0.5542634179771897,responsible,0.7044676647977131,0.4608222365029677,sociable,0.726727306809978,0.5710920920507783
16,conv53,0,0.2,310,trustworthy,0.7123617841123486,0.5185591720571234,intelligent,0.6518620900257696,0.41550440717988324,attractive,0.715095202470763,0.633845596348785,aggressive,0.7067302103965469,0.5578399769666534,responsible,0.7078259717584567,0.46247089769973027,sociable,0.729702911743348,0.5693273024940613
