img_name,smile,gender,age,glasses,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,trustworthy,intelligent,attractive,aggressive,responsible,sociable,e_id,vc binary,vc fund,total binary,total fund,IPO,success,total_RDs
e10421_cb.jpg,1,male,31.4,NoGlasses,0,0,0,0,1,0,0,0,6.4490194,5.9631653,6.0589104,2.094121,6.4847383,7.032925,e10421,0,6.306425028,1,6.306425028,0,1,2
e5016_cb.jpg,0.151,male,33.7,NoGlasses,0,0.007,0,0.001,0.151,0.804,0.008,0.028,4.5394044,4.805045,3.784547,4.790786,4.9297996,4.0054994,e5016,0,0,0,0,0,0,0
e6397_cb.jpg,0.11,male,29.1,NoGlasses,0,0.006,0,0,0.11,0.883,0,0,4.9361744,5.175029,4.8403482,3.9231713,4.9926805,5.4655423,e6397,0,0,0,0,0,0,0
e13065_cb.jpg,1,male,52.7,ReadingGlasses,0,0,0,0,1,0,0,0,5.644739,5.2759905,4.640441,2.9563317,5.729231,6.192046,e13065,0,6.679442456,1,6.679442456,0,1,2
e9525_cb.jpg,1,male,34.6,NoGlasses,0,0,0,0,1,0,0,0,6.385368,6.214518,6.2488427,1.9239779,6.276835,7.9949255,e9525,0,6,1,6,0,1,1
e8394_cb.jpg,0,male,26.6,NoGlasses,0.001,0.004,0,0,0,0.99,0.003,0,4.4871225,4.7629495,3.738491,4.0993056,4.90361,4.719654,e8394,0,0,0,0,0,0,0
e7558_cb.jpg,0.647,male,43.1,NoGlasses,0,0.003,0,0,0.647,0.351,0,0,4.8596396,5.479329,4.988795,4.0831614,5.058052,5.424356,e7558,0,0,0,0,0,0,0
e1585_cb.jpg,0.119,female,24.4,NoGlasses,0.005,0.011,0.008,0,0.119,0.799,0.002,0.056,4.953125,4.6351438,6.395506,3.1610615,4.6466002,5.802281,e1585,1,7.211654401,1,7.211654401,0,1,3
e11236_cb.jpg,1,female,35.7,NoGlasses,0,0,0,0,1,0,0,0,5.5298476,5.3938437,5.3329625,2.8588073,5.548277,6.4437323,e11236,0,0,0,0,0,0,0
e2408_cb.jpg,0.886,male,62.5,NoGlasses,0.002,0.008,0.001,0,0.886,0.103,0,0,5.008448,5.4651985,4.27245,3.6872492,5.4485464,5.657434,e2408,0,0,0,0,1,1,0
e12280_cb.jpg,0.001,male,36.8,ReadingGlasses,0,0.001,0,0,0.001,0.991,0.001,0.006,3.5187585,4.1159506,5.3641586,5.0684633,3.9834104,4.6641097,e12280,0,0,0,0,0,0,1
e59_cb.jpg,0.998,male,33.5,ReadingGlasses,0.001,0,0,0,0.998,0,0,0,5.6311727,5.838442,5.533518,3.3670495,5.695207,6.3509645,e59,1,6.514766127,1,6.514766127,0,1,3
e702_cb.jpg,1,male,27.4,NoGlasses,0,0,0,0,1,0,0,0,4.9205146,5.032965,5.6278396,3.9617248,5.154963,5.7759037,e702,0,0,0,0,0,0,0
e4395_cb.jpg,1,male,44.8,NoGlasses,0,0,0,0,1,0,0,0,6.527511,6.2979636,5.108901,2.6021607,6.675537,6.965893,e4395,0,0,0,0,0,0,0
e4305_cb.jpg,0.35,male,50.6,NoGlasses,0,0.002,0,0,0.35,0.648,0,0,4.950761,5.042994,4.3926363,4.148573,5.108813,4.9909844,e4305,1,6.479883108,1,6.479883108,0,1,2
e2536_cb.jpg,0.013,male,40.2,ReadingGlasses,0,0.006,0,0,0.013,0.975,0.003,0.002,4.822391,4.7866063,5.17543,3.90296,4.948317,5.2968884,e2536,1,7.431363764,1,7.431363764,0,1,1
e10211_cb.jpg,0.005,male,36.7,NoGlasses,0,0,0,0,0.005,0.995,0,0,4.916781,5.046649,4.758424,4.203739,5.063607,4.8985157,e10211,0,0,0,0,0,0,0
e11267_cb.jpg,1,male,33.5,NoGlasses,0,0,0,0,1,0,0,0,5.9951243,5.8023276,5.4419684,2.713855,5.730313,6.719205,e11267,0,0,0,0,0,0,0
